Name,img,description
WellCat Substance Abuse Prevention & Education,https://se-infra-imageserver2.azureedge.net/clink/images/7cf371b8-1b20-47c1-86ad-3e51f96f4b15f72a1436-ef67-4a21-9a88-2e39e8aee116.jpg?preset=med-sq,"WellCat Substance Abuse Prevention & Education is located in Sutter Hall 5th Floor. Our phone number is (530) 898-6450. Our office is open weekdays from 8am to 5pm. The Campus Alcohol & Drug Education Center (CADEC) was established in 1988 with the purpose of preventing substance misuse at California State University, Chico."
Wildcat Gaming,https://se-infra-imageserver2.azureedge.net/clink/images/f6af9042-e49d-4f2b-ad82-e1f50c34397b772f32d5-dbd6-414f-9092-71adc7bce650.png?preset=med-sq,"Wildcat Gaming is your home for gaming on campus. Wildcat Gaming hosts a variety of games ranging from desktop, console, and tabletop games. We work to create a fun environment for casual and competitive gamers on campus."
Wildcat Leadership Institute,https://se-infra-imageserver2.azureedge.net/clink/images/d0a3cb3e-0d5c-4212-8dbe-85d27ff2e39261539c76-f96c-4fde-8df2-e81ebd540231.jpg?preset=med-sq,"The Wildcat Leadership Institute (WLI) is committed to the development, practice, and recognition of leadership opportunities for our Chico State community. Our campus and local community offer several experiences for students, faculty, and staff to advance their leadership skills. Through creation, collaboration, and promotion, the WLI can connect you to these opportunities and better equip you to lead on campus, in our community, and in the workplace."
Wildcats 4 Bernie,https://se-infra-imageserver2.azureedge.net/clink/images/9e9eb6d5-38ff-45cb-9cfb-f97a1e52d5752d5ec99b-8ebd-4cfd-9db6-82f6e191e825.jpg?preset=med-sq,"Harnessing student power is essential to our strategy to win. Students have always been forces of change, and college campuses have always been places brimming with creativity and revolution. We know that our generation has the most to lose in the fight to take back the White House and that students and young people are the most progressive demographic in the country. We also know that we have the numbers to put Bernie over the top -- people ages 18 to 23 in 2020 are projected to comprise one-in-ten eligible voters this election, up from just 4% in 2016, when the vast majority of us were too young to cast ballots. In other words, when Bernie wins, it will be because millions of students and young people mobilized to vote for him, and it’s up to us to make sure they do. "
Women in Concrete,https://se-infra-imageserver2.azureedge.net/clink/images/32d5d98d-10a4-4e49-8f7e-6670a02f584f1413bb60-c9ea-48bd-866f-7d466b7277ef.jpg?preset=med-sq,A student network geared towards the education and advancement of women in the concrete and construction industry.
Women of Excellence,https://se-infra-imageserver2.azureedge.net/clink/images/56a17159-1497-4045-be98-7713311299d327adcacd-fad3-4288-9580-674752032219.png?preset=med-sq,"Women of Excellence, a program of the STAR Center, provides a space for self-identified women of color to connect, foster an educational community, and build academic, personal, and professional confidence around being a woman of color at CSU Chico."
Women's Basketball,https://se-infra-imageserver2.azureedge.net/clink/images/44c8a15a-a5a6-4fe9-801a-303ab7200a5819b406dd-abfd-4fd7-920e-ee068398094f.jpg?preset=med-sq,"Chico State Women's Club Basketball is a club here on campus that welcomes women to join others interested in the sport of basketball. We are a diverse club that welcomes women of all skill levels. This sisterhood, family, and team come together to share our love of the game in hopes of growing together as athletes and individuals."
Women's Lacrosse,https://se-infra-imageserver2.azureedge.net/clink/images/cf9f2424-1ebc-491e-9584-c0ebd1659fb2f1d3f0f9-ef5c-46a0-8fea-f567184f6da2.jpg?preset=med-sq,"We are a dedicated group of women driven by competition, a sense of community, and an overall love of the game. The CSU Chico Women's lacrosse team strives to become the best, on and off the field, by competing at a high level year round. If you are looking to be a part of an amazing team, represent Chico State as a student athlete, and WIN then please contact us."
Women's Rugby,https://se-infra-imageserver2.azureedge.net/clink/images/d590725d-0c61-44c3-a746-ed99459a9a87c314bb64-ff4d-4f33-aca4-a3616353ffc3.jpg?preset=med-sq,"Women's Rugby at CSU Chico is a Division 1 club sport that is nationally ranked. We have two national championships under our belt as well as numerous Sweet 16 appearances. We pride ourselves on being hugely competitive, academically successful, being involved with the Chico Wild Oaks Youth Rugby foundation, and taking part in many local Chico events. Women's rugby begins its preseason with regular practices starting on September 12th. Our competitive season begins in January. No prior knowledge is needed to play. All body types, athletic abilities, and ages are welcome. Team work and determination are aspects that we instill into our players each and every day. If you have the passion and willingness to grow, we have the tools to get you there. ""All the talent in the world won't take you anywhere without your teammates."" - Unknown"
Women's Soccer,https://se-infra-imageserver2.azureedge.net/clink/images/038d3ef0-4ae0-452d-b7f9-d9c5acea7b15f2b29523-12fe-42db-8219-88ce610daadd.JPG?preset=med-sq,"Founded in 2006, women's club soccer is a student-run program at CSU Chico that plays competitive intercollegiate soccer. Our club strives to be a competitive team with integrity that provides the optimal balance between academic and athletic excellence. We’re looking for girls with great attitudes and a desire to play soccer at a level that is more competitive than intramural leagues. For more information about our club or tryout dates contact the number or email below. "
Women's Ultimate,https://se-infra-imageserver2.azureedge.net/clink/images/30946713-cd47-45af-a889-3326f138b845f1b5ab8c-5da6-493a-af01-c5c55d393fa0.jpg?preset=med-sq,Reach out if you like to work hard and play hard! 
Women's Volleyball,https://se-infra-imageserver2.azureedge.net/clink/images/919079f3-128c-40b3-8035-dbf5d9d0cc8baf29e929-3cd2-4b15-b2e7-306c910a4f3c.jpg?preset=med-sq,"We are a competitive club volleyball team representing California State University, Chico. We compete with other UC's, CSU's, colleges in league games and tournaments, and other larger tournaments, including our National Championship tournament which will be held in Kansas City, Missouri in 2020. During our 2016-2017 season we won the Far Westerns Tournament and took 1st in our Division I League. In our 2017-2018 season we competed at Nationals in St. Louis, Missouri and finished 13th in the nation. Last season we traveled to Denver, Colorado and got honorable mention from the NCVL. We look forward to seeing you at tryouts this fall!"
Women's Water Polo,https://se-infra-imageserver2.azureedge.net/clink/images/b0fcf83b-b2e7-46bc-afd3-c8d01ff35c0d32bbe8a9-032c-4218-8158-2e064198a584.jpg?preset=med-sq,"After splitting from the men's team in 1999, the Women's Water Polo team has enjoyed a tremendous amount of success. The team made it to the Women's National Collegiate Club Water Polo Championships in its very first season, as well as back-to-back trips in 2008 and 2009. This 20-member squad finished the 2009 season ranked 12th in the nation and with the Chico State Sport Club Coach of the Year for Greg Ahtye. Last year’s team finished 4th in conference. The team has great expectations for the 2018-2019 season."
Young Americans For Liberty,https://se-infra-imageserver2.azureedge.net/clink/images/2a615940-87ba-42a6-b4ef-8b173946bb8410da558c-0950-42a0-94b2-7eb1ae43dc9f.png?preset=med-sq,"Young Americans for Liberty (YAL) is the largest, most active, and fastest-growing pro-liberty organization on America's college campuses. With more than 380 chapters and 125,000 student activists nationwide, YAL seeks to identify, educate, train, and mobilize young people committed to winning on principle. The mission of Young Americans for Liberty (YAL) is to train, educate, and mobilize youth activists committed to ""winning on principle."" Our goal is to cast the leaders of tomorrow and reclaim the policies, candidates, and direction of our government. • Recruit new members • Educate fellow students about our principles • Advocate for constitutional, limited government policies on campuses • Engage in the political process to effect real change within our system of government • Provide a platform for YAL members to develop their grassroots talents on campus before moving beyond the academic setting and into electoral politics."
Young Life College Chico,https://se-infra-imageserver2.azureedge.net/clink/images/9f580757-fcfb-4040-b423-d452177e5ac7686ae368-f1ee-4f40-80db-da0bce8bf066.jpg?preset=med-sq,Young Life is a Christian non-denominational organization that seeks to introduce adolescents to Jesus Christ. Young Life prides itself in building solid relationships with people in order to show the character of Jesus.
Zeta Sigma Chi,https://se-infra-imageserver2.azureedge.net/clink/images/31e2b9de-6045-4ff7-a60b-db49db131b3955b54276-c9b7-494f-a539-0199199a6909.jpg?preset=med-sq,We are the sisters of Zeta Sigma Chi
